profile,depth_km,pressure_GPa,temperature_K,volume_A3,density_kg_m3,C11_T_GPa,sigma_C11_T_GPa,C12_T_GPa,sigma_C12_T_GPa,C13_T_GPa,sigma_C13_T_GPa,C14_T_GPa,sigma_C14_T_GPa,C15_T_GPa,sigma_C15_T_GPa,C33_T_GPa,sigma_C33_T_GPa,C44_T_GPa,sigma_C44_T_GPa,C11_S_GPa,sigma_C11_S_GPa,C12_S_GPa,sigma_C12_S_GPa,C13_S_GPa,sigma_C13_S_GPa,C14_S_GPa,sigma_C14_S_GPa,C15_S_GPa,sigma_C15_S_GPa,C33_S_GPa,sigma_C33_S_GPa,C44_S_GPa,sigma_C44_S_GPa,qha_extrapolated,elastic_extrapolated,adiabatic_valid,mechanically_stable,minimum_stiffness_eigenvalue_GPa
dolomite-continental-demo,0.0,0.0,300.0,109.16783473587354,2797.5333179017666,201.56124150515447,0.36561896685964235,65.70509785449312,0.5111226189073813,53.54432758585945,0.33754999185038703,16.054146630492735,0.4284666680362099,-12.707968923517386,0.12962964605256924,110.57761272334598,0.4671162981341474,40.16015307556235,0.2901632950649478,202.05475183558585,0.366467664890729,66.19860818492417,0.5122989171217324,54.05293291322258,0.3391557498216668,16.05414663049279,0.4289587085348704,-12.707968923517223,0.1297785095242069,111.10177475820358,0.4704759546793491,40.16015307556235,0.29016329506494776,False,False,True,True,29.305631775233707
dolomite-continental-demo,2.0,0.020042100257063634,343.36,109.26110347525855,2795.14525483404,200.99034544208618,0.36691872190535774,65.39593782405282,0.5131970666680928,53.2324823710936,0.338906729031086,15.966350446992607,0.43021865307596097,-12.667674720391863,0.1301596970908262,110.26715297492927,0.468873512359554,40.04852158631962,0.291322432755333,201.57785859117413,0.36794061117947086,65.9834509731402,0.514611810989722,53.83753002570915,0.3408315553684519,15.966350446992688,0.4308102300902753,-12.667674720391716,0.1303386746512795,110.89025845763052,0.4728932704336797,40.04852158631962,0.291322432755333,False,False,True,True,29.267403450436692
dolomite-continental-demo,3.0,0.03200773967774472,364.56,109.30407594371539,2794.046354447585,200.7278982533368,0.3675326051498252,65.25391007848687,0.5141546944934626,53.08924318365018,0.33953403981883024,15.926031474188889,0.431026440452605,-12.649161108661012,0.13040408761239147,110.12438126005547,0.4696951498679387,39.997187493442446,0.29185892370314165,201.363196998472,0.36864349596049595,65.88920882362137,0.5156916790639361,53.74331832453205,0.34162228517462734,15.926031474188985,0.4316690170909055,-12.649161108660874,0.13059849475862273,110.79778773723747,0.4740526318329331,39.997187493442446,0.29185892370314165,False,False,True,True,29.2497397400545
dolomite-continental-demo,4.0,0.057563937952141195,385.44,109.33035814794727,2793.374686503156,200.56756599679753,0.36791275666806345,65.16717350299781,0.5147409404971953,53.001773649794956,0.339918383030847,15.901413108046082,0.43152064937948886,-12.637854037321594,0.1305536071281572,110.03714475088671,0.4702014138155863,39.965821935458926,0.29218779276194823,201.25060892592205,0.36911155150772307,65.85021643212153,0.5163983562212101,53.70486850001034,0.3421682699999864,15.90141310804619,0.43221344734087824,-12.63785403732146,0.1307632083905776,110.76088018144452,0.47489332334349366,39.965821935458926,0.29218779276194823,False,False,True,True,29.238920917124947
dolomite-continental-demo,6.0,0.10868341154259044,426.24,109.38692893295688,2791.930058699972,200.22292863625842,0.3687431468203893,64.98080845239814,0.5160041892588221,52.813851404031574,0.34074737824242946,15.848528832259085,0.43258478179022625,-12.61355728940421,0.13087555307874554,109.84958836519618,0.47130077651194535,39.89838840841927,0.2928975737000405,200.9956824527764,0.37010998630164704,65.75356226891509,0.5178914028267724,53.60886978383723,0.3433035476396515,15.848528832259223,0.43337336387733727,-12.6135572894041,0.13111413317019383,110.66751279432009,0.47662433499911744,39.89838840841927,0.2928975737000405,False,False,True,True,29.215594097367024
dolomite-continental-demo,8.0,0.15981233454367647,465.76,109.44282206447288,2790.5042026135634,199.88304574055684,0.369579929570754,64.79711735316229,0.5172541147707533,52.628649099086466,0.34156872005453054,15.796418795437255,0.4336366209816878,-12.589606463471185,0.13119377980026833,109.66456622403632,0.47239994986864786,39.83186826165211,0.2936013925863256,200.74135375289265,0.3711097495945024,65.65542536549677,0.5193635937134541,53.511224123879266,0.34441972648082486,15.796418795437424,0.4345177890457603,-12.58960646347111,0.1314603711428151,110.57209436450913,0.47832998563702,39.83186826165211,0.29360139258632567,False,False,True,True,29.19249334343867
dolomite-continental-demo,10.0,0.2109507229991493,504.0,109.49490163650697,2789.176942052027,199.5669117574626,0.37037429831173635,64.62635330562905,0.5184203174280927,52.456501311057245,0.34233602698898136,15.747989739935765,0.4346170430401983,-12.567338747522005,0.13149039975881163,109.49242484313436,0.4734357611211738,39.76998105719082,0.29425943903151985,200.5094089108287,0.37206629689378345,65.56885045899357,0.520750322098136,53.42523350191036,0.3454792825605819,15.747989739935965,0.4355900125847056,-12.567338747521967,0.13178476500842423,110.48812234125778,0.47996624166954927,39.76998105719082,0.29425943903151985,False,False,True,True,29.17092128516807
dolomite-continental-demo,12.0,0.262098592972943,540.96,109.5493074070549,2787.7917455198117,199.2372318323705,0.3712193327885895,64.44836662988386,0.5196401567803198,52.27709408361094,0.3431396401176259,15.697526512054285,0.4356415601139307,-12.544126723249807,0.13180036036126644,109.31285869751686,0.47452984621228345,39.70542658236036,0.294949171056337,200.260354966516,0.3730698925921647,65.47148976402742,0.5221852223842306,53.32808595300746,0.34656517390596003,15.697526512054523,0.4367040080712641,-12.544126723249825,0.1321217966898045,110.39247841548963,0.48163791982116383,39.70542658236036,0.294949171056337,False,False,True,True,29.148337073606815
dolomite-continental-demo,14.0,0.31325596054920735,576.64,109.59878966144322,2786.5330982230703,198.93789548053059,0.37200141748211796,64.28684531634512,0.5207509281232805,52.11430286803137,0.3438723067658269,15.651744139639097,0.4365735839106523,-12.523059824452705,0.13208233775815054,109.14977662407864,0.4755355933813643,39.64679997178065,0.2955784997732548,200.03961654378034,0.3740079316807722,65.3885663795926,0.5235069041170994,53.24550746611093,0.34757469944927116,15.651744139639373,0.4377237288863343,-12.523059824452776,0.1324303062169567,110.31125377596481,0.4832097884568188,39.64679997178065,0.2955784997732548,False,False,True,True,29.127753754756952
dolomite-continental-demo,15.0,0.33920719149611916,594.0,109.62125446551119,2785.962050934972,198.8021573253454,0.37236074548974946,64.21362750031551,0.521255618625925,52.040515445796075,0.34420548746455487,15.630994873959793,0.4369967778647841,-12.513509482362167,0.13221037218171064,109.07581130761695,0.47599555965989276,39.62021063740134,0.29586484172200866,199.94232153628695,0.37444388970874,65.35379171125463,0.5241150030078673,53.210968291890154,0.34804373013072776,15.630994873960084,0.4381899001782887,-12.513509482362265,0.1325713431387449,110.27735741104921,0.4839474705666898,39.62021063740134,0.29586484172200866,False,False,True,True,29.118395560908436
