pressure_GPa,temperature_K,volume_A3,density_kg_m3,C11_T_GPa,sigma_C11_T_GPa,C12_T_GPa,sigma_C12_T_GPa,C13_T_GPa,sigma_C13_T_GPa,C14_T_GPa,sigma_C14_T_GPa,C15_T_GPa,sigma_C15_T_GPa,C33_T_GPa,sigma_C33_T_GPa,C44_T_GPa,sigma_C44_T_GPa,C11_S_GPa,sigma_C11_S_GPa,C12_S_GPa,sigma_C12_S_GPa,C13_S_GPa,sigma_C13_S_GPa,C14_S_GPa,sigma_C14_S_GPa,C15_S_GPa,sigma_C15_S_GPa,C33_S_GPa,sigma_C33_S_GPa,C44_S_GPa,sigma_C44_S_GPa,qha_extrapolated,elastic_extrapolated,adiabatic_valid,mechanically_stable,minimum_stiffness_eigenvalue_GPa
0.0,300.0,109.16783473587354,2797.5333179017666,201.56124150515447,0.36561896685964235,65.70509785449312,0.5111226189073813,53.54432758585945,0.33754999185038703,16.054146630492735,0.4284666680362099,-12.707968923517386,0.12962964605256924,110.57761272334598,0.4671162981341474,40.16015307556235,0.2901632950649478,202.05475183558585,0.366467664890729,66.19860818492417,0.5122989171217324,54.05293291322258,0.3391557498216668,16.05414663049279,0.4289587085348704,-12.707968923517223,0.1297785095242069,111.10177475820358,0.4704759546793491,40.16015307556235,0.29016329506494776,False,False,True,True,29.305631775233707
2.0,300.0,106.88852960751986,2857.1882880061094,216.07216701675273,0.3463686599958047,73.65840076650268,0.46321001516714333,61.58846206523248,0.3070115042773148,18.327111817658448,0.3872153810882821,-13.742153890620985,0.11714935254113884,118.41912404992317,0.4347417919345072,42.981802568136736,0.26450450259900093,216.50267257198018,0.3469816888872368,74.08890632173191,0.4640244722256163,62.035626743257005,0.30819710176231524,18.32711181765827,0.38755516875892093,-13.742153890620246,0.11725215296581444,118.88359250298907,0.4373288416520938,42.981802568136736,0.26450450259900093,False,False,True,True,30.189071722879216
4.0,300.0,104.83628670444453,2913.11972712071,230.11313145117012,0.34400607867664723,81.52368583386088,0.42918350559792884,69.58169602941805,0.2862453985870231,20.600480621054494,0.3569961947141627,-14.760863322543688,0.10800674521326854,125.91664575738457,0.42073197431896253,45.683513270372025,0.2475618434684054,230.51179730879514,0.3445078962765346,81.92235169148859,0.4298065313520056,69.99546731050815,0.28719344561607246,20.600480621054192,0.357254855767489,-14.760863322542704,0.10808500133727453,126.34609480545421,0.42290319457294523,45.683513270372025,0.2475618434684054,False,False,True,True,30.887344628668863
6.0,300.0,102.95432510841701,2966.3703258235632,243.87250300436966,0.3474774597515193,89.38707876327047,0.4133768325573555,77.60705485639596,0.2770198963687921,22.896619810322598,0.3425266085047551,-15.77595975422888,0.10362907116321793,133.17922768240672,0.4180380381563235,48.30425199166732,0.2402716231738451,244.25812933046706,0.34792062809683405,89.77270508937085,0.4139019824881405,78.0046728068664,0.27783912974820935,22.896619810322232,0.34274381220146255,-15.775959754227822,0.10369478464878121,133.58921015465208,0.41997524348694243,48.30425199166732,0.2402716231738451,False,False,True,True,31.42871018641329
8.0,300.0,101.20619896493707,3017.6081904094253,257.47168483928414,0.35268596296769655,97.305475671716,0.4199788870837242,85.71973393208751,0.281415783382412,25.230593870667246,0.34802574273323506,-16.795269339354448,0.105292796264177,140.2761781614161,0.4244418854436527,50.868828550989896,0.24406964269508,257.85750172789375,0.3530981681531129,97.6912925603285,0.4204679207345238,86.1133521264829,0.28218267524304114,25.230593870666866,0.34822804210954256,-16.79526933935343,0.10535400054994801,140.6777554057857,0.4262572262023175,50.868828550989896,0.24406964269507997,False,False,True,True,31.83027709194178
10.0,300.0,99.56686209152548,3067.292154251729,270.9949247577118,0.36132500890929453,105.3197310761474,0.45089126435840454,93.95970399466313,0.3007170271076122,27.613494419786075,0.37505921227887185,-17.82439878502615,0.11347158656850315,147.25465153335566,0.4419488563093809,53.39416515894821,0.2600743793227417,271.39155333728576,0.3617272505712703,105.71635965572395,0.45139117096060327,94.35893860641735,0.30149185477933443,27.61349441978572,0.37526681338661794,-17.82439878502526,0.1135343948566297,147.6565093001201,0.44373297731396033,53.39416515894821,0.2600743793227417,False,False,True,True,32.10278361266586
0.0,400.0,109.43603171220082,2790.6773494853564,199.9243043152583,0.3694774012867663,64.81941026334528,0.5171021699676741,52.65112415656035,0.34146881721782907,15.802742094958795,0.43350881309561645,-12.592513298923379,0.1311551124023447,109.68702898323905,0.4722657239863158,39.83994407483055,0.2935157531040939,200.64414438041683,0.3707548486116044,65.53925032850282,0.5188677566524446,53.39181669716224,0.3438593342722573,15.802742094958926,0.4342467339897441,-12.592513298923283,0.13137836529799463,110.44917805809284,0.47724481692844756,39.83994407483055,0.2935157531040939,False,False,True,True,29.19530263080003
2.0,400.0,107.11519992948202,2851.1420892446336,214.5795864783699,0.34733487544114566,72.83199485687331,0.4676384942793016,60.750739061750885,0.30977144250452754,18.089684439351032,0.39109037176867684,-13.63489791417029,0.11832170435712312,117.61694246935483,0.4371031923620695,42.69296313234439,0.26678878763115427,215.2122979653939,0.34825409342110875,73.46470634389966,0.4688640057174498,61.40770198190346,0.31154541550609227,18.0896844393508,0.3916014385321853,-13.634897914169274,0.1184763240943085,118.29908636480621,0.4409503797439889,42.69296313234439,0.26678878763115427,False,False,True,True,30.105917882084867
4.0,400.0,105.03498694602138,2907.608824417227,228.71096556981254,0.3438539069792908,80.73092547156479,0.4318700059341807,68.77443791934614,0.28785367070652024,20.37025360876386,0.35941409534676894,-14.658347360496474,0.10873826445094247,125.1718641549075,0.42155452320712833,45.41496211068208,0.24885640769859038,229.30267011031142,0.3446091782252389,81.32263001206752,0.43281163028366476,69.3887939363463,0.28928155527232075,20.370253608763427,0.3598048971389755,-14.658347360495043,0.1088564988473644,125.80973878623294,0.4248066101155617,45.41496211068208,0.24885640769859038,False,False,True,True,30.824335607770447
6.0,400.0,103.13317654265951,2961.2261073959603,242.52664891788217,0.3470408097485623,88.61127368580397,0.4139951064518375,76.81385035306299,0.2773546368406508,22.6690971055655,0.34311911289912683,-15.675944548884084,0.10380832931372537,132.47250759122926,0.4178989988588219,48.04906621430953,0.24052068912155272,243.1048819537909,0.3477126997291211,89.18950672171715,0.41479186937778184,77.41057058026037,0.27859580716994375,22.66909710556496,0.3434484542441777,-15.675944548882502,0.10390796927407267,133.08830607978655,0.4208252874861985,48.04906621430953,0.24052068912155272,False,False,True,True,31.381836160925324
